State,City,ZipCode,Area
Telangana,Hyderabad,500081,Kondapur
Telangana,Hyderabad,500084,Hitec City
West Bengal,Kolkata,700001,BBD Bagh
West Bengal,Kolkata,700002,Bowbazar
West Bengal,Kolkata,700003,Fairlie Place
West Bengal,Kolkata,700004,Burrabazar
West Bengal,Kolkata,700006,Chandni Chowk
West Bengal,Kolkata,700007,Jorasanko
West Bengal,Kolkata,700016,Alipore
West Bengal,Kolkata,700017,Kalighat
West Bengal,Kolkata,700019,Ballygunge
West Bengal,Kolkata,700020,Park Street
West Bengal,Kolkata,700026,Gariahat
West Bengal,Kolkata,700029,Saltlake
West Bengal,Kolkata,700064,New Town
